931.271	6.516
932.776	6.382
934.281	6.248
935.786	6.180
937.291	6.046
938.796	5.912
940.301	5.777
941.806	5.710
943.311	5.576
944.816	5.441
946.321	5.307
947.826	5.173
949.331	5.038
950.836	4.971
952.341	4.837
953.846	4.702
955.351	4.568
956.856	4.434
958.361	4.367
959.866	4.232
961.371	4.165
962.876	4.031
964.381	3.964
